Pet ID,Name,Status,Publish Date,Organization ID,City,State,Breed,Age,Gender,Size,Spayed or Neutered,House Trained,Special Needs,Shots Current,Date Collected,Days Available
54858447,Boon,adoptable,2022-03-04,GA862,Athens,GA,Mixed Breed,Adult,Male,Large,True,False,False,False,2022-04-26,53
54802620,Casper,adoptable,2022-03-01,GA99,Macon,GA,Mixed Breed,Young,Male,Medium,True,False,False,False,2022-04-26,56
55368350,Giacomo (In Foster),adoptable,2022-04-22,GA335,Atlanta,GA,Mixed Breed,Young,Male,Small,True,False,False,False,2022-04-26,4
55179362,Loki,adoptable,2022-04-01,GA340,Tucker,GA,Labrador Retriever,Adult,Male,Large,True,True,True,True,2022-04-26,25
55331643,Queen,adoptable,2022-04-18,GA217,Atlanta,GA,Pit Bull Terrier,Young,Female,Medium,False,False,False,False,2022-04-26,8
51906420,Iroh,adoptable,2021-06-11,GA160,Bogart,GA,Shepherd,Adult,Male,Medium,True,True,False,True,2022-04-26,319
55034597,West,adoptable,2022-03-19,GA66,Albany,GA,Mixed Breed,Young,Male,Medium,False,False,False,True,2022-04-26,38
54255524,Dougie,adoptable,2022-01-16,GA423,Chamblee,GA,Mixed Breed,Adult,Male,Medium,True,False,False,False,2022-04-26,100
54338315,Paige,adoptable,2022-01-22,GA168,Perry,GA,American Bulldog,Adult,Female,Medium,True,True,False,True,2022-04-26,94
54786374,Bobby Flame,adoptable,2022-02-28,GA299,Douglasville,GA,Pit Bull Terrier,Young,Female,Large,True,False,False,True,2022-04-26,57
54142621,Lunasia,adoptable,2022-01-08,GA299,Douglasville,GA,Pit Bull Terrier,Adult,Female,Medium,False,False,False,True,2022-04-26,108
55318424,Nugget,adoptable,2022-04-16,GA251,Atlanta,GA,Mixed Breed,Senior,Male,Large,True,False,False,False,2022-04-26,10
55380258,Hashbrown,adoptable,2022-04-23,GA75,Hamilton,GA,Terrier,Adult,Male,Medium,True,False,False,False,2022-04-26,3
55005287,Count,adoptable,2022-03-17,GA537,Dacula,GA,German Shepherd Dog,Young,Male,Large,True,True,False,True,2022-04-26,40
55034588,Champ,adoptable,2022-03-19,GA66,Albany,GA,Pit Bull Terrier,Young,Male,Medium,False,False,False,True,2022-04-26,38
54255898,Sweet Feathers - In Foster,adoptable,2022-01-16,GA423,Chamblee,GA,Mixed Breed,Adult,Female,Medium,True,False,False,False,2022-04-26,100
