Pet ID,Name,Status,Publish Date,Organization ID,City,State,Breed,Age,Gender,Size,Coat,Spayed or Neutered,House Trained,Special Needs,Shots Current
55342799,RAJII JAE,adoptable,2022-04-19T19:01:30+0000,GA217,Atlanta,GA,Siberian Husky,Young,Female,Medium,,True,False,False,False
55282704,Joon/June,adoptable,2022-04-12T18:22:29+0000,GA207,Newnan,GA,Staffordshire Bull Terrier,Adult,Female,Large,,True,True,False,True
55226130,Sam 18-PD012,adoptable,2022-04-06T15:38:10+0000,GA168,Perry,GA,Staffordshire Bull Terrier,Adult,Male,Medium,,True,True,False,False
54859107,Seinna-ADOPTED,adoptable,2022-03-04T19:06:30+0000,GA423,Chamblee,GA,Mixed Breed,Adult,Female,Large,,False,False,False,False
55368551,BaxterB,adoptable,2022-04-22T00:28:09+0000,GA665,Peachtree City,GA,Australian Shepherd,Young,Male,Large,,True,False,False,True
54255488,Daffodili - IN FOSTER,adoptable,2022-01-16T22:06:37+0000,GA423,Chamblee,GA,Mixed Breed,Adult,Female,Large,,True,False,False,False
55310590,Brynleigh,adoptable,2022-04-15T17:25:12+0000,GA718,Columbus,GA,Mixed Breed,Adult,Female,Large,,False,False,False,True
55376144,Layla,adoptable,2022-04-22T20:07:52+0000,GA152,Washington,GA,Beagle,Adult,Female,Medium,Short,False,True,False,True
54986522,Aloe Vera,adoptable,2022-03-15T18:06:23+0000,GA423,Chamblee,GA,Mixed Breed,Adult,Female,Medium,,True,False,False,False
55391355,Mimi,adoptable,2022-04-24T23:09:22+0000,GA994,Lawrenceville,GA,Shih Tzu,Adult,Female,Small,Long,True,False,False,True
55259699,Penny,adoptable,2022-04-09T23:01:34+0000,GA299,Douglasville,GA,Beauceron,Adult,Female,Medium,,False,False,False,True
54673720,Brownie,adoptable,2022-02-18T21:06:35+0000,GA70,Greensboro,GA,Terrier,Adult,Male,Medium,,True,False,False,False
54255604,Roxie Pops,adoptable,2022-01-16T22:06:38+0000,GA423,Chamblee,GA,Mixed Breed,Senior,Female,Medium,,True,False,False,False
55169323,Diana 02-1436,adoptable,2022-03-31T19:25:11+0000,GA926,Tyrone,GA,Pointer,Baby,Female,Small,,False,False,False,True
47880690,Duke,adoptable,2020-04-26T21:49:34+0000,GA667,Newnan,GA,Great Pyrenees,Adult,Male,Large,Long,True,False,False,True
55144140,Garlond,adoptable,2022-03-29T17:06:22+0000,GA423,Chamblee,GA,Mixed Breed,Adult,Male,Large,,True,False,False,False
55322112,Tofie and Wiggles,adoptable,2022-04-17T00:01:10+0000,GA662,Atlanta,GA,Chihuahua,Adult,Female,Small,,True,False,False,True
55337591,Beau,adoptable,2022-04-19T07:29:02+0000,GA1042,Atlanta,GA,Chihuahua,Adult,Male,Small,Short,True,True,False,True
34276515,Yanni,adoptable,2016-01-19T15:21:05+0000,GA667,Newnan,GA,Great Pyrenees,Young,Male,Extra Large,Long,True,False,False,True
54281120,Jenny,adoptable,2022-01-18T21:01:33+0000,GA914,Decatur,GA,Shepherd,Adult,Female,Large,Short,True,True,False,True
53073826,Grace,adoptable,2021-09-24T06:58:12+0000,GA132,Newnan,GA,Labrador Retriever,Baby,Female,Medium,,False,True,False,True
55390628,Tuspots,adoptable,2022-04-24T21:06:14+0000,GA335,Atlanta,GA,Mixed Breed,Adult,Male,Large,,True,False,False,False
55392023,SIMP,adoptable,2022-04-25T00:57:57+0000,GA217,Atlanta,GA,Boxer,Adult,Male,Large,,False,False,False,False
55352060,In Foster C Barnavan,adoptable,2022-04-20T17:15:58+0000,GA357,Lawrenceville,GA,Italian Greyhound,Adult,Male,Small,,True,False,False,True
54411038,Little Girl - Courtesy Listing,adoptable,2022-01-28T00:33:22+0000,GA788,Evans,GA,Terrier,Adult,Female,Large,,True,True,False,True
55386251,Duncan,adoptable,2022-04-24T00:30:53+0000,GA1028,Warner Robins,GA,Border Collie,Baby,Male,Medium,,False,False,False,False
55265903,HOCKEY,adoptable,2022-04-11T00:50:19+0000,GA217,Atlanta,GA,Black Mouth Cur,Adult,Male,Medium,,True,False,False,False
49429706,Gidget,adoptable,2020-10-12T14:33:56+0000,GA918,Marshallville,GA,German Shepherd Dog,Adult,Female,Medium,Long,True,True,False,True
53264200,Crash,adoptable,2021-10-14T18:08:28+0000,GA918,Marshallville,GA,Australian Kelpie,Adult,Male,Large,Long,True,True,False,True
55298841,Olson,adoptable,2022-04-14T13:56:46+0000,GA508,Atlanta,GA,Labrador Retriever,Young,Male,Medium,,True,True,False,True
55333616,Jasper 04-1632,adoptable,2022-04-18T19:25:22+0000,GA926,Tyrone,GA,Labrador Retriever,Baby,Male,Medium,,False,False,False,True
55395744,Berry,adoptable,2022-04-25T15:52:30+0000,GA418,Leesburg,GA,Pomeranian,Adult,Male,Small,Long,False,False,False,True
52929340,Peter Parker 8123,adoptable,2021-09-09T23:50:14+0000,GA181,Columbus,GA,Mixed Breed,Adult,Male,Large,,True,False,False,True
48482483,Monty,adoptable,2020-07-14T08:55:37+0000,GA41,Dawson,GA,Basset Hound,Young,Male,Medium,,True,True,False,True
54803751,Boyo,adoptable,2022-03-01T20:06:20+0000,GA423,Chamblee,GA,Mixed Breed,Adult,Male,Large,,False,False,False,False
54255680,Jango,adoptable,2022-01-16T22:06:38+0000,GA423,Chamblee,GA,Mixed Breed,Senior,Male,Large,,False,False,False,False
55259988,Judo,adoptable,2022-04-10T00:02:19+0000,GA620,Barnesville,GA,Australian Cattle Dog / Blue Heeler,Adult,Female,Medium,,False,False,False,False
54573886,Oddish,adoptable,2022-02-10T00:06:21+0000,GA423,Chamblee,GA,Mixed Breed,Adult,Male,Large,,True,False,False,False
54922903,WATSON,adoptable,2022-03-10T02:42:07+0000,GA217,Atlanta,GA,Labrador Retriever,Adult,Male,Medium,,True,False,False,False
52851909,Sabrina,adoptable,2021-09-02T10:01:50+0000,GA76,Winder,GA,Border Collie,Adult,Female,Large,,True,True,False,False
54974549,OSCAR,adoptable,2022-03-14T21:36:53+0000,GA217,Atlanta,GA,Pit Bull Terrier,Young,Male,Medium,,True,False,False,False
55304759,Pepper,adoptable,2022-04-14T22:01:53+0000,GA1025,Waynesboro,GA,Boxer,Adult,Male,Large,,True,False,False,True
55343373,Ellie V,adoptable,2022-04-19T19:35:16+0000,GA787,Peachtree City,GA,German Shepherd Dog,Adult,Female,Large,,True,False,False,True
54223142,Cool Hand Luke,adoptable,2022-01-14T21:28:25+0000,GA914,Decatur,GA,Mixed Breed,Adult,Male,Large,Short,True,False,False,True
55398120,12739,adoptable,2022-04-25T18:31:16+0000,GA247,Covington,GA,Standard Poodle,Adult,Female,Medium,,False,False,False,True
55306019,Tarzan,adoptable,2022-04-15T00:21:21+0000,GA204,Danielsville,GA,Boxer,Adult,Male,Medium,,True,False,False,True
55386250,Logan,adoptable,2022-04-24T00:30:53+0000,GA1028,Warner Robins,GA,Border Collie,Baby,Male,Medium,,False,False,False,False
55265336,Graphite,adoptable,2022-04-10T23:29:02+0000,GA477,Greensboro,GA,Schnauzer,Adult,Male,Small,Long,True,False,False,True
55086534,Bongo 03-2370,adoptable,2022-03-23T19:25:23+0000,GA926,Tyrone,GA,Pit Bull Terrier,Young,Male,Medium,,True,False,False,True
55401414,Abbie,adoptable,2022-04-25T22:48:32+0000,GA553,Warner Robins,GA,Terrier,Young,Female,Large,Short,True,True,False,True
